CartCode,Total,Discount,CustomerSalary,CustomerAge,ListOfProduct
C1090,77,0.18,2118,56,energy bar>cake>cottage cheese>gluten free bar
C1091,74,0.05,1153,26,mineral water>milk>vegetables mix>chicken>green tea>chocolate>frozen smoothie>escalope>hot dogs
C1092,224,0.07,1364,49,shrimp>tomatoes>parmesan cheese>spaghetti>avocado>meatballs>milk>pancakes>light cream>oil>chicken>ketchup>protein bar>salt
C1093,139,0.13,2372,22,frozen vegetables>mineral water>french wine>eggs>cereals>chocolate>salt
C1094,245,0.2,1868,33,cereals>french fries
C1095,231,0.25,2431,33,mineral water>energy bar>cake>french fries
C1096,212,0.11,633,55,french fries>frozen smoothie
C1097,153,0.17,2390,38,burgers>milk>hot dogs
C1098,141,0.04,894,46,ground beef>mineral water>chocolate>milk>olive oil>black tea>chicken>pancakes>whole wheat rice>oatmeal>champagne>frozen smoothie>fresh bread>mint
C1099,245,0.12,1851,57,whole wheat pasta>spaghetti>meatballs>milk>french fries>low fat yogurt
C1100,83,0.1,1483,45,spaghetti
C1101,227,0.07,2173,23,burgers>tomatoes>ground beef>escalope
C1102,56,0.23,2200,31,energy bar>chocolate>champagne
C1103,180,0.17,557,45,chocolate>ground beef>blueberries>burger sauce>green tea
C1104,178,0.15,1633,28,mineral water>milk>pancakes
C1105,160,0.23,1907,44,burgers>french wine>eggs>green beans>clothes accessories
C1106,156,0.11,638,35,mineral water>whole wheat rice
C1107,160,0.12,1627,58,ground beef>pepper>mineral water>chocolate>white wine
C1108,70,0.09,2242,60,shrimp>spinach
C1109,152,0.17,1067,47,muffins>hot dogs>brownies
C1110,98,0.13,1144,32,ground beef>frozen smoothie>cottage cheese>mint
C1111,224,0.04,658,43,fresh tuna>frozen vegetables>parmesan cheese>pepper>spaghetti>milk>olive oil>black tea>almonds>salmon>honey>cake>gums>oil>cereals>chocolate>frozen smoothie>protein bar>mayonnaise
C1112,67,0.12,1495,38,green tea
C1113,171,0.02,920,28,shrimp>vegetables mix>cookies>mushroom cream sauce>hot dogs
C1114,156,0.11,989,29,mint
C1115,199,0.14,1703,25,spaghetti>pancakes
C1116,206,0.04,1743,56,mineral water>honey>cake
C1117,184,0.05,980,21,soda>oil>barbecue sauce>pancakes
C1118,145,0.14,2191,56,chocolate>spaghetti>mineral water>pancakes>cake>cookies
C1119,80,0.08,2166,25,chocolate>milk>clothes accessories
C1120,197,0.1,572,55,fresh tuna>avocado>vegetables mix>green grapes>honey>whole weat flour>french fries>cottage cheese>energy drink>tomato juice>low fat yogurt>green tea>oil>mineral water>salmon>antioxydant juice>frozen smoothie>spinach>cereals
C1121,145,0.21,1754,25,mineral water>meatballs>french fries>strawberries>green tea
C1122,51,0.01,1212,35,shrimp>champagne>pasta>magazines
C1123,134,0.18,2346,24,cookies
C1124,90,0.14,2083,32,turkey>yams>whole wheat rice>cooking oil>brownies
C1125,204,0.24,1784,23,chocolate>frozen vegetables>light mayo>green tea
C1126,164,0.01,2169,51,turkey>escalope
C1127,106,0.15,2373,41,escalope
C1128,125,0.15,1956,55,spaghetti>chicken>green tea>white wine
C1129,134,0.02,838,29,spinach
C1130,119,0.11,1622,49,chocolate>mineral water
C1131,178,0.07,938,25,cookies
C1132,165,0.07,1153,60,milk>pancakes
C1133,148,0.17,1673,55,vegetables mix>antioxydant juice>french fries
C1134,129,0.02,2370,47,chocolate>brownies>pancakes
C1135,199,0.06,1201,49,milk>cake>gums>french fries>green tea
C1136,214,0.04,786,57,shrimp>mineral water>black tea>cookies
C1137,113,0.06,1371,24,ham>milk
C1138,249,0.2,1787,49,ground beef>chocolate>salmon>hot dogs
C1139,163,0.12,915,28,turkey>burgers>mineral water>chocolate>avocado>cake>frozen smoothie
C1140,185,0.16,892,47,milk>chicken>mint green tea
C1141,195,0.24,734,43,ground beef>spaghetti>honey>sandwich
C1142,132,0.24,805,35,milk>eggs>cake>french fries
C1143,128,0,1056,41,oil
C1144,190,0.16,1530,58,shrimp>tomatoes>parmesan cheese>whole wheat pasta>black tea>eggs>oil>green tea
C1145,75,0.11,749,55,herb & pepper>ground beef>mineral water>meatballs>milk>energy bar>chicken>whole weat flour>french fries>pancakes
C1146,228,0.07,1900,55,avocado>champagne
C1147,122,0.25,2294,34,soup>oatmeal>green tea
C1148,236,0.14,975,59,chocolate
C1149,208,0.06,1048,41,burgers>pancakes>green tea>french fries
C1150,149,0.04,1107,24,tomato sauce
C1151,109,0.03,2407,57,clothes accessories>french fries>frozen smoothie>escalope
C1152,233,0.01,534,39,yams>mineral water>cake>chocolate>french fries>champagne>strawberries>energy drink>tomato juice>mint>green tea
C1153,185,0.06,1620,58,turkey>grated cheese>energy drink
C1154,78,0.17,847,44,pickles>herb & pepper>frozen vegetables>cider>eggs>brownies>pancakes>yogurt cake>green tea
C1155,52,0.16,2256,44,oil
C1156,146,0.24,1020,50,soup
C1157,240,0.16,2040,21,tomato sauce>mint
C1158,146,0.07,1323,56,mineral water>chicken
C1159,57,0.2,1709,42,burgers>brownies
C1160,117,0.04,1557,54,french fries
C1161,103,0.18,1000,43,mineral water>chocolate>french fries>cookies
C1162,215,0.24,2192,60,chicken
C1163,117,0.11,830,23,chicken>white wine
C1164,202,0.13,1319,30,spaghetti>champagne>cottage cheese>pancakes>light mayo>green tea
C1165,173,0.23,2331,40,olive oil
C1166,122,0.2,1429,49,milk
C1167,140,0.01,2062,60,grated cheese>herb & pepper>spaghetti>milk>green tea
C1168,188,0.05,1348,27,mineral water>french fries
C1169,127,0.05,544,25,cookies
C1170,155,0.15,1963,33,ham>red wine>corn>green tea
C1171,68,0.02,1015,32,french fries
C1172,100,0.18,642,43,escalope
C1173,119,0.07,1116,32,mineral water>milk
C1174,132,0.23,2393,24,chocolate>mineral water
C1175,68,0.09,1019,36,tomatoes
C1176,101,0.21,1519,58,grated cheese>butter>eggs>cooking oil
C1177,211,0.09,795,47,oil
C1178,75,0.02,1326,44,mineral water>green tea
C1179,75,0.12,1605,60,tomatoes>ground beef>mineral water>eggs>cake>green tea>pancakes
C1180,122,0.08,2462,32,ground beef>green tea>protein bar
C1181,170,0.08,1505,39,fresh tuna>mineral water>soup>avocado
C1182,106,0.24,1786,56,muffins>french fries>escalope>gluten free bar
C1183,94,0.16,2419,52,burgers>mineral water>whole wheat rice>french fries
C1184,181,0.19,1137,43,protein bar
C1185,215,0.16,2401,52,oil>salad>magazines
C1186,145,0.13,645,32,frozen vegetables>tomatoes>parmesan cheese>muffins>spinach>eggs>cake>french fries>champagne>hot dogs>cottage cheese>strawberries>energy drink>fresh bread>candy bars
C1187,86,0.01,802,38,candy bars
C1188,160,0.08,2490,47,butter>green tea
C1189,196,0.02,656,32,ham>escalope>green tea
C1190,106,0.13,1524,20,dessert wine>frozen vegetables>tomatoes>parmesan cheese>mineral water>soup>olive oil>salmon>extra dark chocolate
C1191,59,0.08,1180,23,herb & pepper>ground beef>spaghetti>french fries>escalope>tomato juice
C1192,131,0.02,2117,45,grated cheese>whole wheat rice>chocolate>frozen smoothie
C1193,130,0.04,863,48,meatballs>green tea
C1194,244,0.2,2048,47,whole wheat rice>yogurt cake>green tea
C1195,232,0.2,690,53,tomato sauce>soup>blueberries>burger sauce>cookies>low fat yogurt
C1196,226,0.17,2147,56,low fat yogurt
C1197,238,0.08,795,21,cake>chicken>escalope>cottage cheese>green tea
C1198,204,0.12,819,41,energy bar>french fries>pancakes
C1199,144,0.04,514,46,butter
C1200,104,0.23,625,41,chicken>rice>oatmeal>whole weat flour>green tea>french fries>pancakes
C1201,236,0.11,1643,54,eggs>pasta>mushroom cream sauce
C1202,182,0.07,2299,51,eggs
C1203,101,0.21,1924,56,eggs>chocolate
C1204,144,0.02,856,59,burgers>mineral water>whole wheat rice>cake
C1205,81,0.19,2135,31,french wine>eggs>french fries>green tea
C1206,120,0.19,1321,37,cookies
C1207,136,0.12,1626,32,cookies
C1208,173,0.22,1746,43,shrimp>frozen vegetables>whole wheat pasta>milk>chicken>whole wheat rice>ham
C1209,174,0.03,1904,43,milk
C1210,235,0.2,1764,24,milk>energy bar>eggs>frozen smoothie>mint
C1211,83,0.19,2366,36,hot dogs
C1212,234,0.04,827,21,frozen vegetables>salmon
C1213,150,0.15,1877,26,shrimp>spaghetti>mineral water>chocolate>salmon>eggs>whole wheat rice>frozen smoothie>asparagus
C1214,155,0.2,1185,34,eggs
C1215,238,0.24,1438,44,olive oil>hot dogs
C1216,205,0.07,2257,35,shrimp>mineral water>meatballs>olive oil
C1217,133,0.02,1699,37,meatballs
C1218,116,0.11,2478,32,spaghetti>mineral water>chili>chocolate>escalope
C1219,75,0.18,1977,58,cookies
C1220,206,0.16,1107,32,french fries>frozen smoothie
C1221,143,0.16,1625,38,frozen vegetables>mineral water
C1222,155,0,1742,36,green tea>french fries>escalope>shallot
C1223,112,0.1,1604,43,fresh tuna>spaghetti>mineral water>salmon
C1224,141,0.1,515,45,olive oil
C1225,58,0.2,1579,23,shrimp>frozen vegetables>mineral water>eggs>chocolate>cottage cheese>low fat yogurt
C1226,156,0.02,1280,41,avocado>frozen smoothie>low fat yogurt
C1227,204,0.19,1311,54,mineral water>eggs
C1228,243,0.15,2467,32,cookies
C1229,248,0.03,2217,58,eggs>french fries
C1230,246,0.12,1235,26,ham>spaghetti>eggs>frozen smoothie>magazines
C1231,245,0.05,998,45,burgers>eggs
C1232,99,0.15,2498,48,spaghetti>oil>cooking oil>white wine
C1233,62,0.13,1914,49,frozen vegetables>spaghetti>brownies>fresh bread
C1234,220,0.08,1067,60,shrimp>green tea
C1235,76,0.13,741,24,frozen vegetables>ground beef>mineral water>milk>olive oil>pancakes>eggs>cooking oil>chocolate
C1236,69,0.02,561,28,corn
C1237,243,0.09,917,48,burgers>flax seed>eggs>green tea
C1238,224,0.2,1284,43,herb & pepper>spaghetti>cooking oil>toothpaste
C1239,76,0.21,529,47,cookies>hot dogs>green tea
C1240,248,0.05,659,41,cookies
C1241,203,0.09,912,23,eggs>french fries>brownies>green tea
C1242,240,0.1,1921,39,mineral water>energy bar>chocolate>low fat yogurt
C1243,78,0.22,722,40,ground beef>whole wheat rice>mint
C1244,83,0.19,2093,53,milk
C1245,139,0.2,1839,24,pepper>green tea
C1246,148,0.03,1024,55,red wine>shrimp>frozen vegetables>eggs>rice>green tea
C1247,226,0.07,2482,54,fresh bread>white wine
C1248,246,0.2,1220,53,chocolate>spaghetti>mineral water>soup>butter>eggs>low fat yogurt
C1249,229,0.19,1763,39,ham>mineral water>spinach>cooking oil>french fries>protein bar
C1250,55,0.13,1369,56,eggs
C1251,161,0.12,1980,22,chocolate>milk>eggs>oatmeal>french fries
C1252,116,0.16,947,51,eggs
C1253,103,0.04,1231,34,spaghetti>eggs
C1254,234,0.03,790,27,turkey>mineral water
C1255,242,0.04,1307,32,low fat yogurt
C1256,186,0.13,1941,38,pepper>chocolate>blueberries>oil>fresh bread>low fat yogurt
C1257,156,0.1,918,34,mineral water>soup>muffins>pet food>eggplant>low fat yogurt
C1258,88,0.01,1467,33,milk>salmon>whole weat flour>chocolate>low fat yogurt
C1259,168,0.08,2248,22,olive oil>zucchini
C1260,65,0.25,1112,28,salmon>whole wheat rice
C1261,174,0.02,839,39,shrimp>mineral water>pancakes>clothes accessories>champagne>protein bar
C1262,211,0.21,1194,58,pepper>milk>oil
C1263,162,0.07,2173,20,burgers>meatballs>eggs>french fries
C1264,137,0.23,1963,28,spaghetti>chocolate>cake>fresh bread>white wine
C1265,250,0.13,782,28,turkey>whole wheat rice>chicken
C1266,189,0.09,883,53,pancakes>eggs>champagne
C1267,169,0.06,2116,30,eggs>eggplant>french fries
C1268,140,0.06,1190,50,escalope
C1269,197,0.18,1586,20,brownies
C1270,75,0.1,665,33,flax seed>green tea>fresh bread
C1271,216,0.13,1628,56,cookies
C1272,114,0.03,1554,50,ham>pepper>spaghetti>strawberries>white wine
C1273,226,0.1,538,37,mineral water>salmon>frozen smoothie>cottage cheese
C1274,231,0.01,2434,29,dessert wine>herb & pepper>tomatoes>yams>mineral water>cake>cooking oil
C1275,71,0,2338,41,turkey>ground beef>eggs>burger sauce>chicken>barbecue sauce>cereals>fresh bread
C1276,211,0.23,528,43,chocolate>mineral water>eggs>light cream>bug spray>burger sauce>chicken
C1277,225,0.09,526,29,turkey>fresh tuna>shrimp>spaghetti
C1278,183,0.05,2434,21,tomatoes>milk>almonds
C1279,114,0.01,1892,34,ground beef>spaghetti>mineral water>eggs>chocolate>white wine>low fat yogurt
C1280,213,0.1,992,53,tomatoes>spaghetti
C1281,109,0.05,1751,24,grated cheese>red wine>spaghetti>mineral water>olive oil>vegetables mix>extra dark chocolate>green tea
C1282,83,0.21,941,27,spaghetti>olive oil>flax seed>bug spray
C1283,65,0.23,2398,24,cake>cottage cheese>green tea
C1284,92,0.05,2056,34,burgers>tomatoes>olive oil>protein bar>shampoo
C1285,198,0.1,530,56,fromage blanc>mushroom cream sauce>low fat yogurt
C1286,72,0.01,2341,28,fresh bread
C1287,73,0.05,1910,49,ham>mineral water>olive oil>oil>carrots>cottage cheese>fresh bread
C1288,124,0.06,1322,21,cake
C1289,59,0.22,1558,35,burgers>ground beef>spaghetti>mineral water>avocado>french fries>brownies>green tea
C1290,92,0.21,1766,20,tomatoes>ground beef>mineral water>muffins>escalope>protein bar
C1291,119,0.22,906,29,salmon
C1292,189,0.15,1806,54,shrimp>frozen vegetables>green tea
C1293,78,0.09,2138,58,spaghetti>milk>olive oil>french fries>escalope>hot dogs
C1294,107,0.25,2151,47,turkey>green grapes>champagne>strawberries>green tea
C1295,192,0.11,717,20,burgers
C1296,151,0.16,1865,56,herb & pepper>spaghetti>milk>energy bar>eggs>light cream>cooking oil>cereals>chocolate>frozen smoothie
C1297,68,0.22,1050,37,red wine>spaghetti>olive oil>cake>fresh bread
C1298,102,0.09,1218,37,milk>cooking oil>chicken>chocolate>escalope>mushroom cream sauce>cottage cheese
C1299,63,0.25,2353,33,energy bar
C1300,86,0.16,792,24,mineral water
C1301,108,0.21,2311,51,eggs
C1302,86,0.09,593,42,frozen vegetables>chocolate>strawberries
C1303,93,0.13,1887,23,mineral water>milk>olive oil>black tea>light mayo
C1304,171,0.01,626,23,french fries
C1305,239,0.12,2394,24,turkey>milk>energy bar>whole wheat rice>yogurt cake>light mayo
C1306,55,0.19,2087,41,burgers>cream>chicken>cookies
C1307,133,0.07,602,40,fresh bread
C1308,231,0.02,560,31,milk
C1309,110,0.06,1804,41,tomato sauce>oil>clothes accessories
C1310,139,0,705,25,burgers>butter
C1311,157,0.21,1129,23,milk>pancakes
C1312,133,0.06,1646,22,grated cheese>spaghetti
C1313,91,0.19,1684,60,soup>barbecue sauce>cookies
C1314,65,0.09,1658,59,turkey>burgers>whole wheat pasta>mineral water>milk>whole wheat rice>cake>cooking oil>frozen smoothie>brownies>fresh bread>honey
C1315,135,0.21,1657,39,turkey>vegetables mix>gums>green tea
C1316,134,0.11,641,34,soup>fromage blanc>eggs>cake>carrots>frozen smoothie
C1317,202,0.19,2056,20,dessert wine>burgers>cake>frozen smoothie>toothpaste
C1318,109,0.11,2357,37,grated cheese>eggplant>cereals
C1319,109,0,1607,54,energy drink
C1320,57,0.15,2487,32,muffins
C1321,131,0.05,1492,46,energy drink
C1322,128,0.15,1834,42,milk>green tea
C1323,75,0.16,1113,21,salmon>green tea
C1324,165,0.24,1514,55,eggs>cookies>green tea
C1325,111,0.13,839,39,cake>french fries
C1326,187,0.25,1182,42,grated cheese>herb & pepper>shrimp>ground beef>spaghetti>mineral water>eggs>light cream>rice>oil>brownies>melons>salad
C1327,201,0.11,1018,22,soup>chocolate>candy bars
C1328,216,0.21,674,45,herb & pepper>shrimp>ground beef>chocolate>milk>olive oil>vegetables mix>rice>oil>frozen smoothie>brownies>white wine
C1329,231,0.04,984,39,milk>chocolate>babies food
C1330,238,0.25,952,38,chocolate>spaghetti>mineral water>soup>muffins>eggs>chicken>french fries>fresh bread>mint
C1331,77,0.07,2407,44,protein bar
C1332,146,0.13,2189,46,tomatoes>whole weat flour>green tea>fresh bread>white wine
C1333,181,0.07,694,40,green tea>pancakes
C1334,92,0.11,1725,51,frozen vegetables>whole wheat pasta>milk>french fries>mushroom cream sauce
C1335,193,0.19,1007,58,chocolate bread>hand protein bar
C1336,60,0.11,1243,46,grated cheese>pepper>spaghetti>escalope
C1337,101,0.18,2241,30,fresh bread>white wine
C1338,141,0.07,966,24,spaghetti>eggs>eggplant
C1339,232,0.1,805,56,milk>butter>pancakes>eggs
C1340,154,0.24,732,53,turkey>grated cheese>tomatoes
C1341,81,0.16,948,21,yogurt cake
C1342,242,0.13,2152,40,burgers>honey>escalope
C1343,108,0.24,527,28,oil
C1344,226,0.08,1286,53,frozen vegetables>tomatoes>french fries>escalope>sparkling water
C1345,89,0.02,1478,59,shrimp>spaghetti>mineral water
C1346,96,0.07,2152,49,fresh bread
C1347,242,0.02,978,59,mineral water>eggs
C1348,87,0.03,689,45,green tea
C1349,185,0,2103,49,frozen vegetables>low fat yogurt
C1350,61,0.03,2385,50,cookies
C1351,205,0.21,1905,34,escalope
C1352,125,0.25,1894,41,cookies>water spray
C1353,59,0.18,2161,56,mashed potato
C1354,153,0.01,1219,44,eggs>cooking oil>low fat yogurt
C1355,133,0.22,631,39,cake
C1356,74,0.04,1392,57,mineral water>avocado
C1357,89,0.11,1992,34,parmesan cheese>ground beef>spaghetti>blueberries>rice>oil>cooking oil>green tea>chocolate>protein bar
C1358,185,0.18,1307,55,mineral water
C1359,82,0.08,1783,20,milk>eggs
C1360,177,0.03,2212,52,ground beef>spaghetti>mineral water>milk>eggs>strawberries>toothpaste
C1361,90,0.11,2180,28,cake
C1362,223,0.02,651,46,cookies
C1363,248,0.05,1374,32,burgers
C1364,157,0.24,1592,44,frozen vegetables>spaghetti>milk>cider>french fries
C1365,190,0.22,719,55,turkey>shrimp>frozen vegetables>mineral water>chocolate>olive oil>honey
C1366,85,0.12,1777,43,eggs
C1367,115,0.2,948,58,turkey>tomatoes>spaghetti>mineral water
C1368,136,0.18,1354,40,burgers>spaghetti>low fat yogurt>green tea
C1369,194,0.2,1528,20,mineral water>eggs
C1370,123,0.13,848,22,mineral water>cookies
C1371,196,0.18,832,34,mineral water>salmon
C1372,115,0.07,706,54,fresh tuna>tomatoes>tomato sauce>spaghetti>chocolate>eggs>honey>oil>eggplant>french fries
C1373,210,0.07,564,44,mineral water>milk>honey>low fat yogurt
C1374,100,0.21,1233,49,herb & pepper>shrimp>tomatoes>milk>eggs>light cream>cooking oil>chili>chocolate
C1375,223,0.22,1262,41,pancakes>eggs>french fries
C1376,107,0.2,1106,33,french fries>brownies
C1377,138,0.13,1354,26,mineral water>milk>energy bar>barbecue sauce>chocolate>low fat yogurt
C1378,225,0.17,2027,54,fresh tuna>tomatoes>mineral water>eggs>honey>low fat yogurt
C1379,154,0.15,1986,56,soup>milk>bacon>whole wheat rice>cooking oil>chicken>ketchup>salt>magazines
C1380,107,0.2,1883,20,chocolate
C1381,221,0.23,1090,55,meatballs>green tea
C1382,239,0.17,1095,57,grated cheese>spaghetti
C1383,51,0.1,2104,23,grated cheese>pepper>green tea
C1384,240,0.04,1830,39,turkey>spaghetti>mineral water>oil>mint green tea>energy drink
C1385,245,0.19,1196,34,chicken>french fries
C1386,129,0.19,1844,41,frozen vegetables>whole wheat pasta>ground beef>spaghetti>milk>eggs>green tea
C1387,216,0.03,1834,33,eggs
C1388,185,0.17,1260,44,shrimp>spaghetti>mineral water>cooking oil>escalope>low fat yogurt
C1389,70,0.08,1228,26,turkey>burgers>ground beef>milk>bacon>eggs>whole wheat rice>blueberries>cooking oil>green tea
C1390,158,0.1,2261,57,olive oil
C1391,90,0.03,1964,52,turkey>tomatoes>eggs>chocolate
C1392,141,0.15,1955,30,burgers>shrimp>pasta>frozen vegetables>mineral water>chocolate>energy drink>protein bar>low fat yogurt
C1393,240,0.17,579,46,burgers>eggs>french fries>energy drink
C1394,195,0.15,1239,60,almonds>eggs>cooking oil>french fries>green tea
C1395,71,0.13,630,58,light mayo
C1396,90,0.16,1239,25,frozen vegetables>whole wheat pasta>carrots>antioxydant juice>french fries
C1397,147,0.12,647,20,tomatoes>mineral water>meatballs>chicken>pancakes>eggs>whole wheat rice
C1398,183,0.23,1529,46,shrimp>frozen vegetables>parmesan cheese>avocado>chicken>eggs>chocolate>frozen smoothie
C1399,109,0.05,667,37,red wine>tomatoes>spaghetti>chocolate>chicken>bacon>pancakes>cake>rice>cooking oil>eggplant>green tea>tea>toothpaste
C1400,219,0.09,2112,29,spaghetti>mineral water>soup>cider>chutney>eggs>whole wheat rice>pet food>green tea
C1401,153,0.1,1377,54,fresh tuna>herb & pepper>spaghetti>low fat yogurt
C1402,180,0.12,2002,33,fresh tuna>eggs
C1403,170,0.07,1313,53,chocolate>escalope>pasta>honey
C1404,177,0.11,2385,59,fresh bread
C1405,116,0.22,702,39,herb & pepper>ground beef>cooking oil>chocolate>french fries
C1406,111,0.11,819,34,turkey>red wine
C1407,201,0.13,2440,24,ham>shrimp>spaghetti>cookies
C1408,171,0.24,1698,55,mineral water>soup>bacon>cake>light cream>eggplant>brownies
C1409,231,0.22,2417,27,burgers>spaghetti>eggs>french fries
C1410,232,0.13,950,59,burgers>spaghetti
C1411,168,0.22,2250,40,eggs>french fries
C1412,163,0.02,1945,23,ground beef>honey>chicken>pasta
C1413,248,0.08,2002,44,burgers>ground beef>mineral water>chocolate>champagne
C1414,239,0.08,2051,23,burgers>ground beef>spaghetti>mineral water>soup>milk>french wine>honey
C1415,69,0.21,1775,59,ham>grated cheese>pepper>pancakes>honey>light cream>bug spray>escalope
C1416,117,0.16,2308,42,burgers>mineral water>milk>cake>chocolate>french fries>escalope>cookies>babies food>zucchini
C1417,161,0.19,1878,39,shrimp>pasta
C1418,202,0.11,1277,42,pancakes>light mayo
C1419,128,0.18,543,28,green tea
C1420,188,0.08,950,32,burgers>frozen vegetables>tomatoes>spaghetti>mineral water>soup>avocado>milk>olive oil>chicken>whole wheat rice>protein bar
C1421,182,0.25,1191,22,herb & pepper>shrimp>frozen vegetables>tomatoes>avocado>chicken>eggs>pancakes
C1422,181,0.08,2080,24,whole wheat pasta>spaghetti>meatballs>milk>almonds>eggs>french fries
C1423,156,0.14,1445,54,vegetables mix>oil>chocolate>escalope>zucchini
C1424,243,0.15,598,33,herb & pepper>tomato sauce>mineral water
C1425,57,0.23,1561,60,burgers>ham>ground beef>spaghetti>mineral water>meatballs>milk>cake>brownies
C1426,52,0,1202,35,eggs
C1427,114,0.2,1026,56,turkey>eggs>frozen smoothie
C1428,60,0.09,1303,30,burgers>grated cheese>mineral water>milk>eggs>whole wheat rice>fresh bread>green tea
C1429,231,0.17,1326,58,tomatoes>mineral water>olive oil>extra dark chocolate
C1430,81,0.14,1832,24,parmesan cheese>mineral water>extra dark chocolate>toothpaste>candy bars
C1431,164,0.05,2409,22,gluten free bar
C1432,103,0.07,1958,41,green tea
C1433,156,0.2,2320,41,french fries>champagne
C1434,243,0.19,920,56,escalope>pasta>mushroom cream sauce
C1435,245,0.07,2302,22,chocolate>asparagus
C1436,96,0.05,1222,34,frozen smoothie
C1437,190,0.1,2169,55,ham>energy drink
C1438,136,0.12,1653,45,tomatoes>chocolate>soup>pancakes
C1439,59,0.17,1808,39,spaghetti>pancakes
C1440,92,0.22,1927,30,turkey>honey>cake>clothes accessories>french fries>green tea
C1441,222,0.22,2492,44,cottage cheese
C1442,231,0.21,1025,22,frozen vegetables>mineral water>almonds>bacon>eggs>barbecue sauce
C1443,199,0.05,1259,45,mineral water>honey>hot dogs
C1444,56,0.06,2110,21,cookies
C1445,77,0.12,862,51,cookies
C1446,235,0.2,1286,52,spaghetti>olive oil>cake>mushroom cream sauce
C1447,119,0.2,2118,32,french fries
C1448,95,0.06,1864,54,eggs>french fries>energy drink>light mayo>low fat yogurt
C1449,51,0.23,2483,31,eggs
C1450,163,0.22,995,35,avocado>green grapes
C1451,221,0.16,2324,55,cookies
C1452,63,0,784,40,chocolate>pancakes>rice>frozen smoothie>low fat yogurt
C1453,77,0.15,1791,25,mineral water>chocolate>milk>salmon>pancakes>chicken
C1454,203,0.13,1411,58,cookies
C1455,231,0.19,1584,51,green tea
C1456,185,0.03,781,36,french fries>cottage cheese
C1457,136,0.19,1595,43,herb & pepper>spaghetti>pancakes>cake
C1458,231,0.06,2252,20,cider>cake
C1459,238,0.18,1158,52,shrimp>frozen vegetables>spaghetti>mint
C1460,249,0.23,1252,46,cookies
C1461,132,0.06,1845,20,eggs>french fries
C1462,226,0.12,1369,24,tomatoes>blueberries>mint
C1463,232,0.23,1030,22,tomatoes
C1464,237,0.07,2035,39,pancakes
C1465,185,0.14,1442,57,burgers>mineral water>eggs>cookies
C1466,110,0.11,2199,39,tomatoes>mineral water
C1467,89,0.04,2032,48,spaghetti>eggs
C1468,230,0.06,818,56,avocado>almonds>french wine>honey>whole wheat rice
C1469,77,0.14,1305,55,turkey
C1470,232,0.17,2116,46,shrimp>spaghetti>chocolate>light mayo
C1471,178,0.22,974,33,shrimp>butter>fresh bread
C1472,101,0.09,2160,23,tomatoes>soup>french fries>escalope>hand protein bar>tomato juice
C1473,196,0.15,1730,50,frozen vegetables>ground beef>mineral water>soup>milk>salmon>pancakes
C1474,180,0.03,1351,33,turkey>spaghetti>mineral water>milk>flax seed>chicken>eggs>cake
C1475,141,0.16,1497,40,cookies
C1476,100,0.17,2202,28,grated cheese>shrimp>french fries>cookies>pancakes>tomato juice
C1477,225,0.1,2014,59,eggs>low fat yogurt
C1478,76,0.15,1635,47,cookies
C1479,181,0.21,993,44,shrimp>frozen vegetables>tomatoes>spaghetti
C1480,159,0.14,2196,45,parmesan cheese>mineral water>champagne>white wine>low fat yogurt
C1481,58,0.09,2015,20,frozen vegetables
C1482,126,0.03,1172,52,nonfat milk>tomato juice>green tea
C1483,247,0,1611,57,frozen vegetables>cake>french fries
C1484,209,0.08,2413,39,energy bar>cake
C1485,133,0.21,1245,50,burgers>tomatoes>mineral water>bramble
C1486,209,0.2,2303,40,mineral water
C1487,74,0.04,1295,33,burgers>strong cheese>champagne>escalope
C1488,213,0.07,934,60,grated cheese>honey>cake>green tea
C1489,141,0.21,546,21,mineral water>eggs>low fat yogurt
C1490,188,0.22,1342,22,burgers>mineral water>avocado>corn>escalope
C1491,243,0.02,762,60,cake>french fries
C1492,168,0.01,1909,54,french fries
C1493,235,0.23,2129,38,frozen vegetables>parmesan cheese>mineral water>eggplant>chocolate>frozen smoothie
C1494,173,0.16,816,49,mineral water>chocolate>fresh bread
C1495,140,0,2293,40,cookies
C1496,54,0.21,2182,47,tomatoes>mineral water
C1497,135,0.12,697,57,milk>yogurt cake>melons
C1498,231,0.12,1784,39,olive oil>extra dark chocolate
C1499,143,0.15,1114,34,pickles>frozen vegetables>chocolate>sparkling water>green tea
C1500,70,0.09,1060,20,burgers>bacon>champagne>light mayo
C1501,242,0.15,2245,31,spaghetti>chicken>eggs
C1502,109,0.21,2326,45,low fat yogurt
C1503,84,0.23,699,26,champagne
C1504,81,0.04,1926,36,burgers>ham>tomatoes>spaghetti>milk>eggs>whole wheat rice>chocolate>french fries>frozen smoothie>low fat yogurt
C1505,127,0.04,617,25,champagne
C1506,225,0.13,506,21,milk>butter>french fries>mushroom cream sauce>brownies
C1507,67,0.24,2172,58,herb & pepper>nonfat milk>eggs>cooking oil
C1508,83,0.22,1271,42,spaghetti
C1509,52,0.07,576,55,candy bars
C1510,104,0.24,1535,45,frozen vegetables
C1511,124,0.2,1047,20,burgers>ham>frozen vegetables>french fries>tomato juice
C1512,107,0.16,1311,23,turkey>shrimp>eggs>light cream>cottage cheese
