CartCode,Total,Discount,CustomerSalary,CustomerAge,Sex,MaritalStatus,IntervalTime,UseCreditCard,ListOfProduct
C1760,56,0.22,1163,45,F,1,I1,NO,pickles>shrimp>milk>cake>french fries>brownies>green tea
C1761,201,0.23,1548,58,F,3,I4,NO,whole wheat rice>cooking oil>cottage cheese>zucchini
C1762,167,0.08,1569,58,M,1,I1,NO,whole wheat pasta>avocado>olive oil>chocolate>french fries>frozen smoothie>champagne
C1763,229,0.07,1078,35,F,3,I2,NO,fresh tuna>mineral water>pancakes>cake>oil>extra dark chocolate>strawberries>gluten free bar
C1764,204,0.16,2086,39,M,1,I4,NO,cake>cookies>green tea
C1765,147,0.16,1494,26,F,0,I4,YES,burgers>cake
C1766,143,0.08,1912,27,F,3,I1,YES,mineral water>milk>cider>gums>extra dark chocolate>french fries>body spray>pancakes>energy drink
C1767,168,0.2,1008,37,F,3,I2,NO,escalope
C1768,192,0.13,1522,60,F,2,I4,NO,mineral water>whole wheat rice
C1769,222,0.23,1508,21,F,2,I3,YES,burgers>ground beef>honey>blueberries>gums>french fries>fresh bread
C1770,138,0.24,736,28,F,3,I3,NO,french fries>pancakes>gluten free bar
C1771,103,0.17,661,24,M,1,I4,NO,fresh tuna>mineral water>avocado>fromage blanc>chocolate>french fries>frozen smoothie>pancakes
C1772,93,0.22,1868,47,F,2,I1,NO,escalope>cookies
C1773,68,0.06,883,53,F,3,I2,NO,burgers>chocolate>spaghetti>mineral water>milk>chicken>whole wheat rice>french fries
C1774,232,0.24,2475,23,M,0,I2,NO,burgers>ground beef>spaghetti>avocado>milk>olive oil>almonds>pancakes>honey>cake>chocolate>frozen smoothie>sparkling water
C1775,104,0.25,2464,44,M,1,I2,YES,burgers>eggs>champagne
C1776,85,0.22,2040,50,F,2,I2,NO,grated cheese
C1777,141,0.13,848,34,F,0,I1,NO,ground beef>milk>energy bar>pancakes>honey>cereals
C1778,200,0.04,1379,45,M,3,I2,NO,shrimp>mineral water>extra dark chocolate>green tea
C1779,63,0.01,1864,35,M,2,I1,NO,spaghetti
C1780,212,0.02,895,34,F,1,I2,YES,mineral water>french fries
C1781,152,0.02,1944,37,F,1,I1,YES,milk>muffins>honey>whole weat flour>green tea
C1782,201,0.04,1185,21,F,0,I1,YES,butter>bacon>eggs>carrots>french fries>tomato juice>green tea
C1783,78,0.1,2135,59,F,4,I4,NO,shrimp>frozen vegetables>tomatoes>spaghetti>eggs>champagne>frozen smoothie
C1784,224,0.25,1517,52,M,3,I1,YES,shrimp>tomatoes>mineral water>chocolate
C1785,120,0.01,1781,21,M,3,I1,YES,mineral water>meatballs>olive oil>muffins>whole wheat rice>yogurt cake>light mayo>salt
C1786,220,0.17,1014,40,M,3,I2,NO,cookies
C1787,153,0.02,1480,45,F,1,I2,YES,eggs>chicken>whole weat flour>strawberries>low fat yogurt
C1788,156,0.01,2188,27,M,4,I3,YES,burgers>eggs>french fries
C1789,96,0.21,713,48,M,3,I1,YES,nonfat milk>escalope
C1790,149,0.03,798,42,M,3,I1,NO,spaghetti>mineral water>extra dark chocolate>green tea>zucchini
C1791,80,0.16,1605,45,M,0,I1,YES,eggs>french fries
C1792,190,0.18,2455,49,M,1,I3,NO,frozen vegetables>spaghetti>mineral water>salmon>cake>body spray
C1793,63,0.01,854,26,M,1,I3,NO,meatballs>french wine
C1794,111,0.08,868,54,M,1,I3,NO,cake>french fries
C1795,216,0.16,2221,44,M,4,I4,NO,cider>frozen smoothie
C1796,55,0.01,2255,59,F,4,I1,NO,eggs>whole weat flour>eggplant>strawberries>low fat yogurt
C1797,80,0.14,801,60,F,3,I1,YES,turkey>pepper>light mayo>protein bar
C1798,235,0.07,1439,58,F,2,I4,NO,turkey>tomatoes>low fat yogurt
C1799,146,0.07,1762,20,M,2,I1,NO,flax seed>cake>green tea>french fries>mushroom cream sauce>hot dogs>cottage cheese>brownies
C1800,110,0.12,1097,30,F,0,I1,YES,eggs>cookies
C1801,129,0.05,887,33,F,3,I1,NO,turkey>mineral water>whole wheat rice>body spray>energy drink>green tea
C1802,129,0.19,2153,60,F,2,I4,NO,eggs>escalope
C1803,163,0.06,1431,53,F,1,I4,NO,eggs>honey>salt>green tea
C1804,209,0.24,727,33,F,3,I3,YES,spaghetti>mineral water>french fries>pancakes
C1805,173,0.07,2331,46,F,4,I2,NO,green tea
C1806,145,0.18,584,52,F,4,I3,YES,tomatoes>spaghetti>mineral water>milk>energy bar>spinach>eggs>frozen smoothie
C1807,160,0.03,867,54,F,0,I4,NO,shrimp>tomatoes
C1808,162,0.17,2459,53,F,1,I3,NO,light cream>chocolate>pancakes>yogurt cake
C1809,211,0,1345,42,F,4,I2,YES,turkey>eggs
C1810,159,0.21,886,24,M,3,I3,NO,french fries
C1811,139,0.02,2352,20,M,2,I2,NO,french fries
C1812,211,0.03,1914,25,M,4,I3,YES,ground beef
C1813,89,0.02,1455,37,M,4,I2,NO,grated cheese>mineral water>eggs>extra dark chocolate>yogurt cake>mayonnaise>low fat yogurt
C1814,142,0.11,2098,60,F,1,I3,NO,salmon>eggs>cake
C1815,166,0.12,1415,42,F,2,I2,YES,frozen vegetables>spaghetti>mineral water>vegetables mix
C1816,165,0.13,668,25,F,0,I2,NO,shrimp>mineral water>olive oil>eggs>cake
C1817,200,0.06,970,37,F,0,I1,NO,turkey>herb & pepper>spaghetti>eggs
C1818,238,0.15,2433,20,M,1,I2,NO,spaghetti>mineral water>eggs>burger sauce>cooking oil>french fries>brownies
C1819,144,0.18,1956,39,M,3,I1,NO,whole weat flour>cereals>honey
C1820,108,0.01,2090,59,F,1,I3,YES,turkey>burgers>spaghetti>pancakes>ketchup>eggplant>french fries>cottage cheese>green tea
C1821,170,0.14,987,43,F,2,I4,NO,grated cheese>herb & pepper>spaghetti>french wine>chicken>eggs>whole wheat rice>fresh bread
C1822,227,0.15,979,51,M,0,I3,YES,burgers>fresh tuna>pickles>vegetables mix>hot dogs>cottage cheese>brownies>green tea
C1823,226,0.17,1544,52,F,3,I2,YES,tomatoes>french fries
C1824,83,0.1,2404,41,M,3,I4,YES,escalope>cookies
C1825,250,0.22,2362,48,F,3,I2,YES,energy bar
C1826,118,0.14,2423,34,M,2,I1,NO,dessert wine>mineral water>milk
C1827,76,0.03,539,37,F,3,I4,NO,turkey>pepper>black tea>honey>cake>bug spray>pancakes>low fat yogurt>green tea
C1828,144,0.22,992,53,M,4,I1,NO,whole wheat pasta>pepper>olive oil>whole wheat rice>rice>pasta>white wine
C1829,105,0.22,2323,39,F,0,I4,YES,soup>french fries
C1830,72,0.24,2426,41,M,3,I2,NO,burgers>mineral water>escalope
C1831,206,0.01,1857,33,F,0,I3,YES,pepper>mineral water>soup>milk>french wine>pancakes>chocolate>asparagus
C1832,181,0.04,1591,56,F,3,I4,NO,french fries
C1833,242,0.17,1122,49,F,1,I4,NO,french fries>escalope
C1834,249,0.09,839,25,F,3,I4,NO,chocolate>shrimp>milk>butter>black tea>eggs>cooking oil>barbecue sauce>green tea>cauliflower>toothpaste
C1835,199,0,1978,45,F,3,I4,YES,chicken
C1836,157,0.23,2423,34,F,1,I2,NO,chocolate>frozen smoothie
C1837,75,0.12,1650,57,M,4,I1,NO,pancakes
C1838,233,0.14,798,43,F,2,I4,YES,chicken>honey>whole weat flour>cereals>green tea>energy drink
C1839,140,0.16,2054,42,F,3,I3,YES,mineral water>french fries>cookies>shallot>low fat yogurt
C1840,229,0.1,2182,44,M,4,I2,YES,mineral water>pancakes>eggs>whole wheat rice>yogurt cake>green tea
C1841,195,0.2,1490,25,M,4,I4,YES,frozen smoothie
C1842,202,0.21,1982,40,F,4,I4,NO,pepper>cider
C1843,155,0.22,579,25,F,0,I4,NO,frozen vegetables>spaghetti>milk>bacon>barbecue sauce>low fat yogurt
C1844,161,0.25,2380,40,F,0,I2,NO,frozen vegetables>parmesan cheese>spaghetti>escalope>sparkling water
C1845,78,0.03,1632,24,F,0,I3,YES,cake
C1846,218,0.02,2130,28,F,1,I1,NO,red wine>gums>pet food
C1847,118,0.23,774,59,M,0,I2,YES,turkey
C1848,209,0.16,1240,51,M,1,I3,YES,frozen vegetables>spaghetti>mineral water>soup>green grapes>eggs>cooking oil>oatmeal
C1849,66,0.23,1091,42,F,3,I4,NO,chocolate
C1850,91,0.07,1134,38,M,0,I2,NO,eggs>champagne
C1851,78,0,753,52,M,2,I1,YES,frozen vegetables>spaghetti
C1852,61,0.18,1166,28,M,0,I1,NO,grated cheese>herb & pepper>ground beef>mineral water>rice>cooking oil>oatmeal>chocolate
C1853,126,0.17,730,49,F,4,I4,YES,mineral water
C1854,207,0.16,573,51,M,3,I4,NO,red wine>eggs
C1855,76,0.12,1919,38,F,2,I2,NO,turkey>spinach
C1856,151,0.12,511,23,F,2,I3,NO,burgers>herb & pepper>shrimp>whole weat flour>green tea
C1857,102,0.24,1797,25,F,4,I2,NO,spaghetti>escalope
C1858,108,0.22,925,29,F,3,I1,NO,fresh tuna>pepper>spaghetti>whole wheat rice>cooking oil
C1859,214,0.11,559,60,F,1,I4,YES,escalope
C1860,128,0.2,2327,40,M,1,I4,YES,tomatoes>french fries>body spray>yogurt cake
C1861,216,0.15,2153,34,M,4,I3,NO,rice>burger sauce>french fries>frozen smoothie>sandwich>fresh bread
C1862,156,0.22,2257,41,M,1,I3,NO,tomatoes>soup>green grapes>whole weat flour
C1863,191,0.1,1586,39,F,2,I3,YES,grated cheese>avocado>french fries>green tea
C1864,157,0.17,2101,45,M,2,I3,YES,turkey>burgers>spaghetti>french wine>eggs
C1865,85,0.01,1571,44,M,0,I1,NO,eggs>mashed potato
C1866,239,0.02,2354,36,M,2,I4,NO,burgers>ham>spaghetti>soup>almonds>pancakes>eggs>cake>cereals>chocolate>french fries>low fat yogurt>green tea
C1867,63,0.22,2130,50,F,1,I1,YES,frozen vegetables>chicken>pancakes
C1868,146,0.16,2439,32,F,4,I4,NO,chocolate>red wine>spaghetti
C1869,64,0.15,1983,40,F,4,I1,NO,mineral water>milk
C1870,128,0.11,1891,40,M,2,I4,YES,fresh tuna
C1871,105,0.2,545,27,M,4,I1,NO,french fries
C1872,76,0,1232,44,F,2,I1,NO,chocolate>red wine>spaghetti
C1873,163,0.05,1630,31,M,0,I2,YES,cookies
C1874,215,0.06,2424,27,M,0,I1,YES,tomatoes>cake
C1875,152,0.05,1248,60,F,3,I4,YES,frozen vegetables>tomatoes>mineral water>chicken>green grapes>eggs>chocolate>brownies>fresh bread>white wine
C1876,130,0.06,630,25,M,1,I4,YES,pancakes>eggs
C1877,88,0.24,1646,60,M,2,I3,NO,ham>grated cheese>frozen vegetables>mineral water>soup>eggs>cereals>chocolate>french fries
C1878,74,0,1649,59,M,1,I1,YES,shrimp>babies food
C1879,216,0.05,849,31,M,2,I3,YES,burgers>shrimp>tomatoes>ground beef>tomato sauce>spaghetti>soup>milk>black tea>cereals>green tea
C1880,172,0.12,2260,55,F,4,I2,YES,eggs>tea
C1881,247,0.13,1188,22,M,0,I2,YES,eggs>low fat yogurt
C1882,145,0.18,1862,34,M,4,I1,NO,ham>frozen vegetables>energy bar>whole weat flour>green tea
C1883,167,0.11,1886,32,F,2,I4,YES,ground beef>tomato sauce>salmon>chocolate>green tea
C1884,82,0,1271,34,F,1,I1,NO,frozen vegetables>soda>chocolate
C1885,186,0.21,2388,53,M,2,I2,NO,shrimp>frozen vegetables>tomatoes>whole wheat pasta>chocolate>french fries>mushroom cream sauce
C1886,90,0.22,1490,25,F,1,I2,NO,mineral water>energy bar>vegetables mix>green grapes
C1887,210,0.24,1451,32,F,4,I1,YES,cooking oil>fresh bread
C1888,239,0.13,1826,34,M,0,I1,NO,red wine>mineral water>muffins>pancakes>honey>cake>cooking oil>whole weat flour>french fries>frozen smoothie>mushroom cream sauce>hot dogs>sparkling water>green tea
C1889,120,0,1126,51,M,2,I4,YES,avocado>eggs>chocolate>energy drink
C1890,104,0,1267,26,F,4,I2,NO,herb & pepper>olive oil>fresh bread
C1891,74,0.02,535,54,F,3,I3,NO,spaghetti>energy bar>pancakes>whole wheat rice>cake>french fries>low fat yogurt
C1892,53,0.13,1710,25,M,3,I1,YES,frozen vegetables>spaghetti>mineral water>barbecue sauce>chocolate
C1893,250,0.03,1979,41,F,4,I1,YES,chocolate>herb & pepper>shrimp>frozen vegetables>tomatoes>ground beef>spaghetti>mineral water>eggs
C1894,64,0.13,770,25,F,2,I4,NO,whole wheat rice>frozen smoothie>low fat yogurt>green tea
C1895,171,0.07,1015,48,F,2,I1,YES,burgers>red wine>mineral water>cake>green tea
C1896,58,0.19,678,40,M,1,I3,NO,red wine>mineral water>soup>eggs>pet food>tomato juice>fresh bread
C1897,191,0.2,1791,29,F,1,I3,YES,grated cheese>ground beef>pepper>spaghetti>milk>pancakes
C1898,77,0.14,2376,52,M,3,I3,NO,burgers>shrimp>frozen vegetables>tomatoes>light cream>extra dark chocolate
C1899,237,0.06,1987,29,M,3,I3,YES,french fries
C1900,78,0.04,2192,46,M,2,I3,NO,whole weat flour>french fries>brownies
C1901,50,0.1,1135,46,M,2,I3,NO,cake>mint green tea
C1902,197,0.22,1005,20,M,1,I1,YES,spaghetti>mineral water>cake>light cream>cooking oil>eggplant>cottage cheese>pancakes
C1903,162,0.14,1951,46,F,4,I2,YES,ground beef>mineral water>milk>oatmeal>chocolate>french fries>escalope>yogurt cake>tomato juice
C1904,78,0.14,730,23,M,4,I2,YES,olive oil>cake>eggplant>french fries>brownies>salt>fresh bread
C1905,137,0.21,2389,30,F,4,I2,NO,mineral water>french wine>green tea
C1906,98,0.09,1691,35,M,3,I4,NO,mineral water>olive oil>strong cheese>pancakes>clothes accessories>french fries>strawberries
C1907,53,0.21,1869,24,M,3,I4,NO,spaghetti>olive oil
C1908,187,0.15,1026,56,F,0,I2,YES,grated cheese>ground beef>almonds>salmon>spinach>barbecue sauce>chocolate>frozen smoothie>fresh bread>green tea
C1909,199,0.15,1557,54,M,3,I1,NO,tomatoes>pepper>mineral water
C1910,121,0.24,2365,25,M,0,I1,YES,escalope
C1911,62,0.19,1428,52,F,2,I4,YES,spaghetti
C1912,187,0.22,1641,24,M,0,I1,NO,mineral water>soup>milk>olive oil>green beans>french fries>green tea
C1913,199,0.05,2443,44,F,1,I1,YES,cake>french fries
C1914,236,0.16,1547,47,F,3,I2,YES,burgers>whole wheat rice>ham>eggplant
C1915,229,0.11,842,23,M,4,I2,YES,burgers>dessert wine>strong cheese>french fries
C1916,157,0.12,1734,21,F,3,I3,YES,hot dogs
C1917,64,0.1,556,27,F,0,I1,YES,avocado
C1918,124,0.23,2382,59,M,0,I4,YES,grated cheese>red wine>tomato sauce>milk>french wine>whole wheat rice>whole weat flour>french fries
C1919,57,0.09,1495,25,F,0,I3,NO,turkey>burgers>frozen vegetables>mineral water>nonfat milk>champagne>strawberries>low fat yogurt
C1920,106,0.22,1574,27,M,4,I4,NO,chocolate
C1921,90,0.01,1090,33,M,3,I3,YES,spaghetti>honey>cooking oil>cookies>mashed potato
C1922,62,0.09,814,27,F,4,I3,YES,dessert wine>eggs>french fries
C1923,160,0.15,503,20,M,2,I3,NO,turkey>burgers>french wine>french fries>green tea
C1924,96,0.11,810,27,M,0,I1,YES,mineral water>soup>meatballs>energy bar>cottage cheese>brownies>shampoo
C1925,247,0.05,1943,46,F,1,I2,NO,turkey>chocolate>whole wheat rice>oil
C1926,184,0,1675,35,M,1,I3,NO,ground beef>chocolate>escalope
C1927,166,0.07,1079,60,M,1,I4,NO,french fries
C1928,243,0.01,1108,52,M,2,I3,YES,chocolate>milk>olive oil
C1929,144,0.06,2010,53,M,4,I3,YES,cereals>chocolate>champagne>green tea
C1930,245,0.16,1117,57,M,2,I3,YES,strawberries
C1931,73,0.05,1528,24,M,0,I2,YES,whole wheat pasta>ground beef>mineral water>olive oil>green tea
C1932,87,0.16,536,36,M,1,I2,NO,spaghetti
C1933,91,0.05,985,20,F,0,I2,NO,milk>eggs
C1934,106,0.22,1456,29,F,4,I4,NO,frozen vegetables>spaghetti>mineral water>frozen smoothie>cottage cheese>green tea
C1935,103,0.14,1271,43,M,0,I1,NO,mineral water
C1936,163,0.06,2393,21,M,1,I2,NO,soup>cookies>brownies>light mayo
C1937,148,0.24,2466,21,M,4,I2,YES,mineral water>chocolate>french wine>champagne
C1938,85,0.02,1536,44,F,1,I2,NO,chocolate
C1939,88,0.23,1594,49,F,3,I1,YES,french fries>pancakes>yogurt cake
C1940,200,0.18,2179,57,F,1,I1,NO,burgers>fresh tuna>shrimp>spaghetti>chocolate>french wine>chutney>pancakes>eggs>whole wheat rice>cooking oil>french fries>light mayo
C1941,171,0.1,1718,60,M,1,I4,YES,oil>frozen smoothie
C1942,201,0.22,2242,25,M,3,I4,YES,red wine>mineral water>olive oil
C1943,239,0.08,2196,25,F,1,I2,NO,pepper>milk>salmon
C1944,238,0.25,2156,29,M,3,I3,YES,grated cheese>cereals
C1945,64,0.09,2444,22,M,1,I3,NO,tomatoes>milk>almonds>salmon>pancakes>carrots>salad>fresh bread
C1946,149,0.2,1118,43,F,0,I4,NO,grated cheese>herb & pepper>ground beef>soup>almonds>french fries>cookies
C1947,244,0.01,1259,40,F,4,I2,YES,shrimp>tomatoes
C1948,169,0.24,2380,27,M,2,I3,YES,milk>cake
C1949,216,0.14,682,47,F,2,I3,YES,turkey>spaghetti>milk>energy bar>french wine>eggs>eggplant>french fries>cookies>green tea
C1950,196,0.11,1433,40,F,2,I2,NO,turkey>fresh tuna>tomatoes>pancakes
C1951,58,0.17,1954,28,M,4,I4,YES,whole wheat rice
C1952,147,0.15,929,47,F,3,I1,NO,ground beef>tomato sauce>spaghetti>milk>hot dogs>brownies>green tea
C1953,105,0.18,2409,43,M,1,I3,YES,salt>fresh bread
C1954,126,0.22,842,47,M,0,I2,YES,milk>green tea
C1955,130,0.09,1201,35,F,2,I3,YES,burgers>tomatoes>spaghetti>milk>barbecue sauce>frozen smoothie>green tea
C1956,192,0.09,2035,52,M,3,I1,NO,chocolate bread>yogurt cake
C1957,56,0.14,1304,40,M,3,I3,YES,whole wheat rice>cake>rice
C1958,175,0.08,1253,60,F,0,I1,YES,shrimp>frozen vegetables>mineral water>meatballs>energy bar>french fries>green tea
C1959,219,0.13,952,24,F,3,I1,YES,chicken>muffins>honey>yogurt cake
C1960,59,0.02,1479,23,M,3,I1,NO,energy bar>black tea>eggs>chicken>champagne>light mayo
C1961,108,0.18,1267,24,M,4,I3,NO,soup>olive oil>light mayo>zucchini>green tea
C1962,85,0.09,1347,47,F,2,I1,YES,muffins>gluten free bar
C1963,147,0.05,1485,51,F,4,I2,NO,french wine>french fries
C1964,188,0.22,565,54,F,0,I3,NO,protein bar>tomato juice
C1965,108,0.19,2319,36,M,1,I3,NO,chocolate>french fries>escalope>shampoo
C1966,224,0.22,2270,54,M,3,I1,YES,french fries>energy drink
C1967,213,0.12,2021,31,F,2,I4,NO,tomatoes>spaghetti>olive oil>oil
C1968,153,0.07,1955,59,F,0,I3,NO,mineral water>meatballs>milk
C1969,234,0.03,1951,50,M,2,I1,YES,brownies
C1970,217,0.03,834,59,M,1,I2,NO,burgers>spaghetti>avocado>green beans
C1971,188,0.24,1938,25,M,1,I2,NO,energy bar>eggs
C1972,228,0.18,2008,27,M,2,I2,YES,muffins>green grapes>hot dogs
C1973,224,0.13,1116,37,F,2,I3,NO,chocolate>almonds>champagne>frozen smoothie
C1974,116,0.21,1985,43,M,0,I4,YES,energy bar>brownies
C1975,108,0.04,1303,32,F,1,I4,YES,turkey>frozen vegetables>avocado>eggs>whole wheat rice>melons>zucchini
C1976,162,0.09,867,50,M,1,I4,NO,protein bar
C1977,113,0.17,644,29,M,0,I1,YES,burgers>shrimp>tomatoes>mineral water>soup>pancakes>cooking oil>low fat yogurt
C1978,94,0.13,971,21,F,3,I3,YES,chocolate>spaghetti>mineral water>chicken>tomato juice
C1979,168,0.25,1656,52,F,2,I4,NO,milk>escalope>shallot>strawberries
C1980,85,0.04,960,33,M,2,I4,NO,mineral water>milk>oil>chocolate>escalope>hot dogs>yogurt cake
C1981,231,0.2,909,51,F,0,I3,NO,milk>chocolate
C1982,54,0.08,1577,55,M,4,I4,NO,olive oil
C1983,231,0.08,695,39,M,4,I1,NO,mineral water>milk>french wine>eggs>chocolate
C1984,222,0.14,1277,40,F,2,I3,NO,mineral water>honey
C1985,189,0.24,1888,54,M,3,I1,YES,shrimp>light cream>rice>cooking oil>chicken>extra dark chocolate>french fries
C1986,105,0.03,1403,39,F,0,I4,YES,grated cheese>spaghetti>mineral water>eggplant>green tea>energy drink>light mayo
C1987,101,0.09,1721,25,F,0,I2,NO,energy bar
C1988,140,0.02,1429,25,M,2,I2,NO,butter>tomato juice>magazines>low fat yogurt
C1989,144,0.12,1405,57,F,0,I2,YES,herb & pepper>mineral water>salmon>whole weat flour>light mayo>salt>shampoo>candy bars
C1990,201,0.04,2403,59,M,1,I4,YES,spaghetti
C1991,126,0.15,760,28,M,1,I2,NO,mineral water>milk>eggs>chocolate
C1992,124,0.07,2027,35,F,1,I3,YES,turkey>shrimp>frozen vegetables>spaghetti>mineral water>toothpaste
C1993,116,0.06,2037,21,M,2,I1,NO,milk>eggs>cake>french fries
C1994,92,0.15,1603,40,F,3,I1,NO,cookies
C1995,180,0.19,722,29,F,0,I2,NO,cookies
C1996,108,0.07,2178,60,F,3,I2,NO,spaghetti>milk>olive oil>low fat yogurt
C1997,243,0.13,1046,58,M,2,I4,YES,turkey>burgers>spaghetti>whole wheat rice>light cream>chocolate>light mayo
C1998,177,0.21,923,45,F,3,I3,NO,cookies
C1999,175,0.25,1752,50,M,4,I4,NO,grated cheese>tomato sauce>spaghetti>fromage blanc>body spray
C2000,211,0.05,1256,37,F,0,I3,NO,pancakes>energy drink
C2001,109,0.03,1538,57,M,2,I3,NO,shrimp>frozen vegetables>frozen smoothie
C2002,164,0.11,1350,25,F,2,I4,YES,cider>eggs>whole wheat rice>french fries
C2003,119,0.04,644,28,F,3,I3,NO,mineral water>energy bar>chocolate>body spray>low fat yogurt
C2004,180,0.06,608,31,M,0,I4,NO,mineral water>cake
C2005,173,0.17,1042,33,M,1,I4,NO,mineral water>cake
C2006,63,0,1337,30,M,0,I4,NO,tomato juice
C2007,85,0.05,1570,31,F,4,I3,YES,herb & pepper>shrimp>ground beef>mineral water>eggs>cake>green tea>melons
C2008,88,0.21,1456,36,F,2,I2,NO,ham>herb & pepper>ground beef>chocolate>light cream>frozen smoothie>champagne>fresh bread
C2009,193,0.13,1524,22,F,2,I2,YES,herb & pepper>spaghetti>mineral water>eggs
C2010,55,0.17,2027,23,M,4,I3,NO,tomatoes>mineral water>milk
C2011,193,0.17,1156,49,F,4,I1,YES,spaghetti>eggs
C2012,117,0.01,2274,20,M,4,I1,YES,red wine>milk>eggs>chocolate bread>salt>white wine
C2013,65,0.02,1955,53,M,2,I3,YES,eggs>yogurt cake
C2014,183,0.02,2476,52,F,0,I3,NO,mint green tea
C2015,196,0.04,2121,55,M,3,I1,YES,cookies
C2016,209,0,1615,32,F,1,I3,NO,grated cheese>eggs>french fries
C2017,87,0.17,1812,26,M,4,I1,YES,grated cheese>energy bar>light cream>cooking oil>escalope
C2018,175,0.04,831,56,M,3,I3,YES,frozen vegetables>whole wheat pasta>ground beef>mineral water>milk>chicken>eggs>chocolate>french fries
C2019,146,0.15,1803,32,M,3,I3,YES,mineral water>cereals>chocolate>fresh bread
C2020,208,0.02,1794,23,M,4,I4,NO,energy bar>fromage blanc
C2021,162,0,875,38,F,3,I3,YES,tomatoes>eggs>chicken>chocolate bread>low fat yogurt
C2022,120,0.11,939,40,M,0,I2,YES,tomatoes>ground beef>spaghetti>mineral water>milk
C2023,71,0.18,1836,38,F,3,I1,YES,turkey>burgers>ham>tomatoes>milk>eggs>chocolate>french fries>low fat yogurt
C2024,234,0.02,1723,45,M,1,I3,NO,burgers>tomatoes>chocolate
C2025,228,0.1,534,26,M,0,I1,NO,cottage cheese
C2026,238,0.16,1878,45,M,3,I3,YES,chocolate
C2027,215,0.01,964,42,M,4,I3,NO,herb & pepper>ground beef>spaghetti>olive oil
C2028,59,0.16,1408,40,M,1,I4,YES,pancakes>salt>tomato juice
C2029,183,0.09,1900,35,M,3,I3,YES,oil>cooking oil>chocolate>mushroom cream sauce>brownies
C2030,69,0.18,1753,57,F,2,I4,NO,ham>frozen vegetables>tomatoes>spaghetti>chocolate>cake
C2031,120,0.01,1031,40,M,3,I2,YES,fromage blanc>eggs>french fries
C2032,88,0.22,2315,48,M,3,I3,NO,burgers>grated cheese>cider>salmon>cake
C2033,69,0.23,690,28,M,4,I3,YES,shrimp>soup
C2034,70,0.05,2239,22,F,4,I2,NO,salmon
C2035,58,0.08,1157,52,M,1,I1,YES,burgers>eggs>green tea
C2036,129,0.12,527,36,M,2,I1,NO,cake>toothpaste
C2037,154,0.07,1950,20,F,1,I4,NO,grated cheese>red wine
C2038,153,0.13,1287,50,F,0,I3,NO,whole wheat pasta>spaghetti>mineral water>olive oil
C2039,137,0.03,2350,20,M,4,I2,YES,mineral water>milk>olive oil>chicken
C2040,230,0,1642,25,F,4,I4,NO,fresh tuna>eggs
C2041,97,0.19,1554,45,F,4,I1,NO,yams>fromage blanc>salmon>chocolate>frozen smoothie>light mayo
C2042,238,0.23,2025,56,M,0,I3,YES,yams
C2043,132,0.24,2359,23,M,0,I3,YES,eggs>cookies
C2044,84,0.03,852,53,F,4,I4,YES,mineral water>meatballs>pancakes
C2045,111,0.21,1740,20,F,2,I2,NO,mineral water
C2046,70,0.01,1912,50,M,1,I3,YES,burgers>grated cheese>whole wheat pasta>spaghetti>mineral water>eggs>whole wheat rice>blueberries>cooking oil>whole weat flour>hand protein bar
C2047,82,0.01,1608,48,M,4,I2,YES,honey>light cream>oil>chicken>green tea>chocolate>hot dogs
C2048,64,0.03,2199,29,F,1,I1,NO,eggs>chocolate
C2049,106,0.11,1684,60,M,3,I3,NO,chocolate
C2050,77,0.22,1482,49,M,2,I1,NO,spaghetti>french fries>escalope>green tea
C2051,185,0.23,1558,30,M,1,I4,YES,turkey>eggs>fresh bread
C2052,72,0.07,1478,40,F,3,I1,YES,turkey>eggs>bug spray>cookies>low fat yogurt
C2053,197,0.16,1415,54,F,0,I2,NO,turkey>chocolate>eggs>gums>champagne>green tea
C2054,151,0.07,1590,55,F,0,I3,YES,eggs>cake>french fries
C2055,162,0.02,1289,39,M,2,I4,YES,burgers>green tea>chocolate
C2056,247,0.03,2034,60,F,2,I3,YES,whole wheat rice>chocolate>escalope
C2057,132,0.21,2355,57,M,2,I4,YES,butter>cooking oil>chocolate>french fries
C2058,126,0,2009,40,M,1,I2,YES,tomatoes>milk
C2059,95,0.02,2224,25,M,1,I1,YES,mineral water>green tea
C2060,210,0.08,2282,32,F,3,I3,YES,fromage blanc
C2061,199,0.02,2046,46,M,2,I2,YES,red wine>ground beef>spaghetti>mineral water>eggs>soda>cooking oil>zucchini
C2062,150,0.18,1397,38,F,4,I3,NO,herb & pepper>ground beef>tomato sauce>soup>eggs>escalope
C2063,182,0.21,648,26,F,2,I4,YES,mineral water>whole wheat rice>escalope
C2064,145,0.15,673,39,F,2,I3,YES,red wine>shrimp>spaghetti>mineral water>soup>milk>champagne
C2065,125,0.08,1662,37,F,3,I4,NO,rice>frozen smoothie
C2066,220,0.1,1442,20,F,4,I3,NO,frozen vegetables>chocolate>whole wheat rice
C2067,172,0.01,1942,43,F,1,I1,YES,mineral water>chocolate
C2068,64,0.05,583,44,F,1,I1,YES,burgers
C2069,182,0.21,2349,56,M,4,I1,NO,eggs>french fries>energy drink
C2070,51,0.12,1726,25,F,0,I3,NO,almonds>eggs>cookies
C2071,246,0.22,1318,47,M,0,I3,YES,eggs>frozen smoothie>cottage cheese>low fat yogurt
